GeneID,Gene Symbol,Gene Full Name,Discontinued?
101111313,LOC101111313,cationic amino acid transporter 3-like,
101111335,LOC101111335,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1,
101111337,LOC101111337,SLAM family member 9-like,
101111345,LOC101111345,serine/arginine-rich splicing factor 10,
101111367,LOC101111367,uncharacterized LOC101111367,
101111388,LOC101111388,high mobility group protein B1-like,
101111397,LOC101111397,glutathione S-transferase theta-4,
101111409,LOC101111409,T-cell surface glycoprotein CD1a,
101111432,LOC101111432,plasma membrane calcium-transporting ATPase 4-like,DISCONTINUED
101111481,LOC101111481,zinc finger protein 606,
101111528,LOC101111528,"sterol 26-hydroxylase, mitochondrial",
101111596,LOC101111596,nucleolar RNA helicase 2-like,
101111607,LOC101111607,mitochondrial chaperone BCS1,
101111669,LOC101111669,histone H2A type 1-C,
101111732,LOC101111732,short coiled-coil protein,
101111733,LOC101111733,eukaryotic translation initiation factor 2 subunit 2,
101111847,LOC101111847,solute carrier family 15 member 2,
101111911,LOC101111911,D-dopachrome decarboxylase,
101111915,LOC101111915,histone H2B type 1-C/E/F/G/I,
101111922,LOC101111922,aldehyde dehydrogenase family 3 member B1,
101111946,LOC101111946,complement C3-like,
101111968,LOC101111968,high mobility group protein B1 pseudogene,
101111988,LOC101111988,agouti-signaling protein,DISCONTINUED
101112013,LOC101112013,ubiquinol-cytochrome-c reductase complex assembly factor 3,
101112038,LOC101112038,"boLa class II histocompatibility antigen, DQB*0101 beta chain-like",
101112076,LOC101112076,"cytochrome c oxidase assembly factor 3 homolog, mitochondrial",
101112084,LOC101112084,cationic amino acid transporter 3-like,
101112102,LOC101112102,60S ribosomal protein L10a-like,
101112109,LOC101112109,CD48 antigen-like,
101112122,LOC101112122,2'-5'-oligoadenylate synthase 1-like,
101112162,LOC101112162,beta-hexosaminidase subunit beta-like,
101112166,LOC101112166,putative SEC14-like protein 6,
101112168,LOC101112168,U3 small nucleolar RNA-associated protein 14 homolog A,
101112223,LOC101112223,alcohol dehydrogenase class-3,
101112255,LOC101112255,prefoldin subunit 4,DISCONTINUED
101112287,LOC101112287,spermine synthase,
101112291,LOC101112291,uncharacterized LOC101112291,
101112296,LOC101112296,zinc finger CCHC domain-containing protein 16-like,DISCONTINUED
101112298,LOC101112298,melanoma-associated antigen 10-like,
101112306,LOC101112306,sterile alpha motif domain-containing protein 9,
101112318,LOC101112318,14-3-3 protein epsilon-like,
101112330,LOC101112330,high mobility group protein B1-like,
101112339,LOC101112339,40S ribosomal protein S15a,
101112345,LOC101112345,apolipoprotein A-I-like,DISCONTINUED
101112384,LOC101112384,cytochrome P450 2D14-like,
101112402,LOC101112402,interleukin-8-like,DISCONTINUED
101112460,LOC101112460,ATP-dependent translocase ABCB1-like,
101112471,LOC101112471,60S ribosomal protein L35a-like,
101112474,LOC101112474,60S ribosomal protein L7a-like,
101112480,LOC101112480,"class I histocompatibility antigen, Gogo-C*0202 alpha chain-like",
101112491,LOC101112491,histidine triad nucleotide-binding protein 1,
101112520,LOC101112520,uncharacterized LOC101112520,
101112526,LOC101112526,ATPase PAAT-like,
101112536,LOC101112536,transcription factor BTF3,DISCONTINUED
101112542,LOC101112542,uncharacterized LOC101112542,DISCONTINUED
101112543,LOC101112543,protein EOLA1-like,
101112563,LOC101112563,intercellular adhesion molecule 1-like,
101112584,LOC101112584,"primary amine oxidase, lung isozyme-like",
101112585,LOC101112585,F-box only protein 44,
101112606,LOC101112606,histone H4,
101112612,LOC101112612,myomegalin-like,
101112623,LOC101112623,kinesin-like protein KIF19,
101112635,LOC101112635,zinc finger protein 665-like,
101112639,LOC101112639,tyrosine-protein kinase ZAP-70,
101112694,LOC101112694,eukaryotic translation initiation factor 3 subunit C,
101112784,LOC101112784,general transcription factor II-I repeat domain-containing protein 2,
101112822,LOC101112822,brain ribonuclease-like,
101112832,LOC101112832,CMRF35-like molecule 8,
101112843,LOC101112843,cationic amino acid transporter 3-like,
101112864,LOC101112864,phosphodiesterase 4D interacting protein,
101112891,LOC101112891,complement C4-like,
101112959,LOC101112959,zinc finger protein 665-like,
101112974,LOC101112974,T-complex protein 1 subunit delta-like,
101112981,LOC101112981,high mobility group protein 20A-like,
101112989,LOC101112989,zinc finger protein 28 homolog,DISCONTINUED
101112999,LOC101112999,zinc finger CCCH domain-containing protein 15 pseudogene,DISCONTINUED
101113001,LOC101113001,"cytochrome b-c1 complex subunit Rieske, mitochondrial",
101113036,LOC101113036,amidophosphoribosyltransferase-like,DISCONTINUED
101113073,LOC101113073,epididymal secretory protein E3-beta,
101113086,LOC101113086,"primary amine oxidase, lung isozyme",
101113111,LOC101113111,nucleosome assembly protein 1-like 1,
101113135,LOC101113135,"40S ribosomal protein S4, X isoform-like",
101113136,LOC101113136,TRAF family member-associated NF-kappa-B activator,DISCONTINUED
101113195,LOC101113195,cytochrome c oxidase assembly factor 6 homolog,
101113206,LOC101113206,histone-binding protein RBBP4-like,DISCONTINUED
101113211,LOC101113211,Ig mu chain C region membrane-bound form,
101113217,LOC101113217,"BOLA class I histocompatibility antigen, alpha chain BL3-7",
101113219,LOC101113219,40S ribosomal protein S23-like,
101113221,LOC101113221,heterogeneous nuclear ribonucleoprotein K,
101113241,LOC101113241,nucleophosmin,
101113250,LOC101113250,aminoacyl tRNA synthase complex-interacting multifunctional protein 1,DISCONTINUED
101113252,LOC101113252,myosin-3,
101113259,LOC101113259,spleen trypsin inhibitor I-like,
101113264,LOC101113264,AFG3-like protein 1,
101113344,LOC101113344,60S ribosomal protein L13,
101113398,LOC101113398,collectin-43,
101113476,LOC101113476,calcium homeostasis modulator protein 6-like,
101113508,LOC101113508,"protein SCO1 homolog, mitochondrial",
101113516,LOC101113516,pancreatic trypsin inhibitor,
101113523,LOC101113523,zinc finger protein OZF-like,
101113531,LOC101113531,chondroitin sulfate proteoglycan 4-like,
101113537,LOC101113537,uncharacterized LOC101113537,
101113571,LOC101113571,40S ribosomal protein S8-like,
101113583,LOC101113583,lanosterol 14-alpha demethylase,
101113599,LOC101113599,"cytochrome c1, heme protein, mitochondrial",
101113601,LOC101113601,carbonic anhydrase 1,DISCONTINUED
101113604,LOC101113604,protein POLR1D-like,
101113619,LOC101113619,cationic amino acid transporter 3-like,
101113636,LOC101113636,vascular cell adhesion protein 1,
101113650,LOC101113650,eukaryotic translation initiation factor 2 subunit 2,
101113705,LOC101113705,ubiquitin D-like,
101113726,LOC101113726,60S ribosomal protein L22-like 1,DISCONTINUED
101113728,LOC101113728,clusterin,
101113741,LOC101113741,granzyme H-like,
101113745,LOC101113745,transmembrane protein 198-like,
101113750,LOC101113750,60S ribosomal protein L5-like,
101113775,LOC101113775,probable low-specificity L-threonine aldolase 2,
101113786,LOC101113786,zinc finger protein OZF-like,
101113831,LOC101113831,complement C3-like,
101113832,LOC101113832,agrin-like,
101113965,LOC101113965,ubiquitin D-like,
101114018,LOC101114018,elongation factor 1-alpha 1,
101114032,LOC101114032,WAP four-disulfide core domain protein 18-like,
101114033,LOC101114033,60S ribosomal protein L17,
101114058,LOC101114058,heterogeneous nuclear ribonucleoprotein A1-like,
101114063,LOC101114063,nucleolin-like,
101114075,LOC101114075,sulfotransferase 1A1,
101114077,LOC101114077,guanylate-binding protein 6-like,DISCONTINUED
101114082,LOC101114082,annexin A8,
101114089,LOC101114089,T-cell surface glycoprotein CD1b-2-like,
101114092,LOC101114092,60S ribosomal protein L23a-like,
101114191,LOC101114191,zinc finger protein 26-like,
101114216,LOC101114216,uncharacterized LOC101114216,
101114226,LOC101114226,vascular cell adhesion protein 1-like,
101114285,LOC101114285,C-C motif chemokine 4,
101114294,LOC101114294,phosphoglycerate mutase 1-like,
101114301,LOC101114301,zinc finger protein 548-like,
101114310,LOC101114310,5-formyltetrahydrofolate cyclo-ligase,
101114319,LOC101114319,phosphatidylethanolamine-binding protein 1,
101114349,LOC101114349,EF-hand calcium-binding domain-containing protein 1-like,
101114379,LOC101114379,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,
101114382,LOC101114382,F-box only protein 27-like,
101114408,LOC101114408,carbonyl reductase [NADPH] 1,
101114419,LOC101114419,spindlin-2,
101114442,LOC101114442,zinc finger protein 85-like,DISCONTINUED
101114499,LOC101114499,RNA-binding protein FUS-like,
101114533,LOC101114533,"10 kDa heat shock protein, mitochondrial",DISCONTINUED
101114535,LOC101114535,C-C motif chemokine 3,
101114575,LOC101114575,zinc finger and BTB domain-containing protein 5-like,
101114579,LOC101114579,golgin subfamily A member 6-like protein 22,
101114586,LOC101114586,sorbin and SH3 domain-containing protein 2,
101114597,LOC101114597,heterogeneous nuclear ribonucleoprotein A1,
101115761,LOC101115761,melanoma-associated antigen 10-like,
101115775,LOC101115775,zinc finger and BTB domain-containing protein 5-like,
101118125,LOC101118125,cationic amino acid transporter 3-like,
101120064,LOC101120064,putative ATP-dependent RNA helicase DDX11-like protein 8,
101120582,LOC101120582,eukaryotic translation initiation factor 2 subunit 2 pseudogene,
101121500,LOC101121500,"primary amine oxidase, lung isozyme-like",
101123159,LOC101123159,complement C4-A-like,
105603287,LOC105603287,uncharacterized LOC105603287,
105603299,LOC105603299,granzyme H-like,
105603639,LOC105603639,plectin-like,
105604828,LOC105604828,kinesin-like protein KIF19,
105604829,LOC105604829,kinesin-like protein KIF19,
105604830,LOC105604830,kinesin-like protein KIF19,
105605155,LOC105605155,uncharacterized LOC105605155,
105605832,LOC105605832,cationic amino acid transporter 3-like,
105605918,LOC105605918,membrane primary amine oxidase-like,
105606000,LOC105606000,multidrug resistance protein 1-like,
105606850,LOC105606850,60S ribosomal protein L13 pseudogene,
105612794,LOC105612794,2'-5'-oligoadenylate synthase 2-like,
105612796,LOC105612796,2'-5'-oligoadenylate synthase 1-like,
105613403,LOC105613403,zinc finger CCCH domain-containing protein 15 pseudogene,
105614417,LOC105614417,carbonic anhydrase 1-like,
105614856,LOC105614856,guanylate-binding protein 6-like,
105615982,LOC105615982,uncharacterized LOC105615982,
105616111,LOC105616111,nuclear receptor-binding protein 2-like,
106990174,LOC106990174,recombining binding protein suppressor of hairless-like protein,
106990925,LOC106990925,uncharacterized LOC106990925,
106991242,LOC106991242,ellis-van Creveld syndrome protein-like,
106991709,LOC106991709,uncharacterized LOC106991709,
106991801,LOC106991801,microtubule-actin cross-linking factor 1-like,
114108753,LOC114108753,lanosterol 14-alpha demethylase-like,
114108756,LOC114108756,uncharacterized LOC114108756,
114108806,LOC114108806,elongation factor 1-alpha 1 pseudogene,
114108992,LOC114108992,uncharacterized LOC114108992,
114111374,LOC114111374,serine/arginine-rich splicing factor 10 pseudogene,
114112094,LOC114112094,uncharacterized LOC114112094,
114113152,LOC114113152,mitogen-activated protein kinase kinase kinase 20-like,
114117982,LOC114117982,F-box only protein 27-like,
114118048,LOC114118048,cationic amino acid transporter 3-like,
114118050,LOC114118050,cationic amino acid transporter 3-like,
114118056,LOC114118056,cationic amino acid transporter 3-like,
114118098,LOC114118098,zinc finger protein OZF-like,
101111776,MAP3K20,mitogen-activated protein kinase kinase kinase 20,
101112462,MTA1,metastasis associated 1,
101113505,NAPRT,nicotinate phosphoribosyltransferase,
101111719,NRBP2,nuclear receptor binding protein 2,
101122173,PALM2,paralemmin 2,
101114239,PALM2AKAP2,PALM2 and AKAP2 fusion,
101111462,PLEC,plectin,
101113743,PLEKHG7,pleckstrin homology and RhoGEF domain containing G7,
101114283,POLR1D,RNA polymerase I and III subunit D,
101113127,PRAG1,"PEAK1 related, kinase-activating pseudokinase 1",
101111903,PRDM11,PR/SET domain 11,
101111926,RPUSD1,RNA pseudouridine synthase domain containing 1,
101112865,SCNM1,sodium channel modifier 1,
101111910,SEC14L3,SEC14 like lipid binding 3,
101113751,TEX52,testis expressed 52,
101111537,TMBIM7P,"transmembrane BAX inhibitor motif containing 7, pseudogene",
101112188,TMEM225B,transmembrane protein 225B,
101114140,ZNF10,zinc finger protein 10,
101111293,ZNF250,zinc finger protein 250,
101114390,ZNF268,zinc finger protein 268,
101114548,ZNF613,zinc finger protein 613,
101112888,ZNF782,zinc finger protein 782,
