OA LOC name,Gene name,Notes,,,,,
LOC106991777,,DISCONTINUED,,,,,
LOC106991770,,DISCONTINUED,,,,,
LOC106991767,RPL23A,,,,,,
LOC106991759,FGD5,,,,,,
LOC106991758,ZDHHC3,,,,,,
LOC106991752,,DISCONTINUED,,,,,
LOC106991751,,DISCONTINUED,,,,,
LOC106991747,GTL2,,,,,,
LOC106991745,,DISCONTINUED,,,,,
LOC106991743,,DISCONTINUED,,,,,
LOC106991740,,DISCONTINUED,,,,,
LOC106991735,,DISCONTINUED,,,,,
LOC106991731,,DISCONTINUED,,,,,
LOC106991714,,DISCONTINUED,,,,,
LOC106991709,OAS1,Like gene,,,,,
LOC106991702,FBRSL1,,,,,,
LOC106991694,TMEM131L,,,,,,
LOC106991693,,DISCONTINUED,,,,,
LOC106991690,,DISCONTINUED,,,,,
LOC106991688,,DISCONTINUED,,,,,
LOC106991667,MYO10,,,,,,
LOC106991663,,DISCONTINUED,,,,,
LOC106991655,,DISCONTINUED,,,,,
LOC106991653,PPFIA1,like gene,,,,,
LOC106991649,,DISCONTINUED,,,,,
LOC106991648,ADAMTS12,,,,,,
LOC106991643,,DISCONTINUED,,,,,
LOC106991640,LOC106991640,,,,,,
LOC106991638,P2RY2,,,,,,
LOC106991637,,DISCONTINUED,,,,,
LOC106991634,,DISCONTINUED,,,,,
LOC106991619,GALNT18,,,,,,
LOC106991617,BCL9L,,,,,,
LOC106991609,,DISCONTINUED,,,,,
LOC106991608,,DISCONTINUED,,,,,
LOC106991607,BCAT2,,,,,,
LOC106991605,AKT2,,,,,,
LOC106991601,,DISCONTINUED,,,,,
LOC106991594,LOC106991594,,,,,,
LOC106991591,LOC106991591,,,,,,
LOC106991588,,DISCONTINUED,,,,,
LOC106991586,ERVK10,Like gene,,,,,
LOC106991585,SLC7A5,,,,,,
LOC106991584,IRF8,,,,,,
LOC106991581,,DISCONTINUED,,,,,
LOC106991580,LOC106991580,,,,,,
LOC106991578,MAF,,,,,,
LOC106991563,AP2A1,,,,,,
LOC106991560,CEACAM6,like gene,,,,,
LOC106991557,SPTBN4,,,,,,
LOC106991541,SIGLEC14,pseudogene,,,,,
LOC106991536,PROSER3,,,,,,
LOC106991530,LOC106991530,,,,,,
LOC106991529,IRF4,like gene,,,,,
LOC106991518,NEBL,,,,,,
LOC106991516,SFMBT2,,,,,,
LOC106991504,KDM5B,,,,,,
LOC106991502,LOC106991502,,,,,,
LOC106991500,LOC106991500,,,,,,
LOC106991493,KIAA1614,,,,,,
LOC106991487,LOC106991487,,,,,,
LOC106991486,LOC105606444,,,,,,
LOC106991484,TARDBP,,,,,,
LOC106991480,PCMT1,pseudogene,,,,,
LOC106991479,,DISCONTINUED,,,,,
LOC106991477,,DISCONTINUED,,,,,
LOC106991452,KIF26B,,,,,,
LOC106991450,,DISCONTINUED,,,,,
LOC106991444,RPL10L,,,,,,
LOC106991439,TMC6,,,,,,
LOC106991434,,DISCONTINUED,,,,,
LOC106991433,,DISCONTINUED,,,,,
LOC106991431,,DISCONTINUED,,,,,
LOC106991430,,DISCONTINUED,,,,,
LOC106991426,,DISCONTINUED,,,,,
LOC106991424,,DISCONTINUED,,,,,
LOC106991418,,DISCONTINUED,,,,,
LOC106991412,LOC106991412,,,,,,
LOC106991405,,DISCONTINUED,,,,,
LOC106991404,ICAM2,Like gene,,,,,
LOC106991403,MAPT,,,,,,
LOC106991402,MAPT,,,,,,
LOC106991397,PER1,,,,,,
LOC106991389,ABCC4,like gene,,,,,
LOC106991381,PSPC1,,,,,,
LOC106991368,,DISCONTINUED,,,,,
LOC106991354,,DISCONTINUED,,,,,
LOC106991353,,DISCONTINUED,,,,,
LOC106991345,ZNF77,like gene,,,,,
LOC106991335,,DISCONTINUED,,,,,
LOC106991329,,DISCONTINUED,,,,,
LOC106991327,RPL17,,,,,,
LOC106991325,AFDN,,,,,,
LOC106991323,IGF2R,,,,,,
LOC106991303,IGF2R,,,,,,
LOC106991295,LOC106991295,,,,,,
LOC106991292,RBBP4,,,,,,
LOC106991287,LOC106991287,,,,,,
LOC106991282,LOC106991282,,,,,,
LOC106991267,SAMD4A,,,,,,
LOC106991261,NAA30,,,,,,
LOC106991258,,DISCONTINUED,,,,,
LOC106991247,TACC3,,,,,,
LOC106991246,,DISCONTINUED,,,,,
LOC106991242,EVC,,,,,,
LOC106991233,,DISCONTINUED,,,,,
LOC106991232,TRMT10A,,,,,,
LOC106991229,,DISCONTINUED,,,,,
LOC106991227,,DISCONTINUED,,,,,
LOC106991221,,DISCONTINUED,,,,,
LOC106991207,LOC106991207,,,,,,
LOC106991198,,DISCONTINUED,,,,,
LOC106991183,GPR108,,,,,,
LOC106991181,SLC44A2,,,,,,
LOC106991180,GNG14,,,,,,
LOC106991178,,DISCONTINUED,,,,,
LOC106991168,KDM3B,,,,,,
LOC106991156,PIGBOS1,,,,,,
LOC106991149,CHPF2,,,,,,
LOC106991147,SLC4A2,,,,,,
LOC106991144,EPHA1,,,,,,
LOC106991137,,DISCONTINUED,,,,,
LOC106991125,ABCB1,,,,,,
LOC106991120,LOC106991120,,,,,,
LOC106991118,,DISCONTINUED,,,,,
LOC106991117,LOC106991117,,,,,,
LOC106991113,EPHA1,,,,,,
LOC106991099,LOC106991099,,,,,,
LOC106991096,LOC106991096,,,,,,
LOC106991095,,DISCONTINUED,,,,,
LOC106991092,,DISCONTINUED,,,,,
LOC106991088,,DISCONTINUED,,,,,
LOC106991087,PTMS,,,,,,
LOC106991082,RBFOX2,,,,,,
LOC106991069,RPL17,,,,,,
LOC106991057,,DISCONTINUED,,,,,
LOC106991051,RPL17,pseudogene,,,,,
LOC106991049,PSD4,,,,,,
LOC106991046,PNO1,,,,,,
LOC106991042,,DISCONTINUED,,,,,
LOC106991040,,DISCONTINUED,,,,,
LOC106991038,,DISCONTINUED,,,,,
LOC106991030,PRRC2B,,,,,,
LOC106991028,WDR5,,,,,,
LOC106991011,PKDREJ,like gene,,,,,
LOC106990995,,DISCONTINUED,,,,,
LOC106990991,TMEM131,,,,,,
LOC106990985,RTN4,,,,,,
LOC106990979,,DISCONTINUED,,,,,
LOC106990972,,DISCONTINUED,,,,,
LOC106990969,LOC106990969,,,,,,
LOC106990948,CLCN3,,,,,,
LOC106990944,,DISCONTINUED,,,,,
LOC106990921,AKNA,,,,,,
LOC106990914,,DISCONTINUED,,,,,
LOC106990907,,DISCONTINUED,,,,,
LOC106990882,MEGF10,,,,,,
LOC106990881,RPL17,,,,,,
LOC106990866,LOC106990866,,,,,,
LOC106990858,NUP210L,,,,,,
LOC106990854,,DISCONTINUED,,,,,
LOC106990850,LOC105615111,,,,,,
LOC106990846,LOC106990846,,,,,,
LOC106990843,LOC106990843,,,,,,
LOC106990841,LOC106990841,,,,,,
LOC106990829,ESPNL,like gene,,,,,
LOC106990802,NPR1,,,,,,
LOC106990757,LOC106990757,,,,,,
LOC106990745,LOC106990745,,,,,,
LOC106990709,,DISCONTINUED,,,,,
LOC106990657,LOC106990657,,,,,,
LOC106990644,,DISCONTINUED,,,,,
LOC106990587,LOC106990587,,,,,,
LOC106990586,,DISCONTINUED,,,,,
LOC106990580,LOC106990580,,,,,,
LOC106990559,,DISCONTINUED,,,,,
LOC106990546,LOC106990546,,,,,,
LOC106990526,LOC106990526,,,,,,
LOC106990520,LOC106990520,,,,,,
LOC106990516,ZNF34,,,,,,
LOC106990491,,DISCONTINUED,,,,,
LOC106990463,LOC106990463,,,,,,
LOC106990460,LOC106990460,,,,,,
LOC106990391,,DISCONTINUED,,,,,
LOC106990375,,DISCONTINUED,,,,,
LOC106990367,,DISCONTINUED,,,,,
LOC106990336,,DISCONTINUED,,,,,
LOC106990321,CEBPZOS,,,,,,
LOC106990281,ACKR2,like gene,,,,,
LOC106990272,,DISCONTINUED,,,,,
LOC106990244,LOC106990244,,,,,,
LOC106990241,COBL,like gene,,,,,
LOC106990212,SIMC1,,,,,,
LOC106990202,WBP11,pseudogene,,,,,
LOC106990194,,DISCONTINUED,,,,,
LOC106990174,RBPJL,,,,,,
LOC106990167,,DISCONTINUED,,,,,
LOC106990166,TACC3,,,,,,
LOC106990157,,DISCONTINUED,,,,,
LOC106990154,,DISCONTINUED,,,,,
LOC106990150,ACOT4,like gene,,,,,
LOC106990145,LOC106990145,,,,,,
LOC106990140,CYP4F6,like gene,,,,,
LOC106990122,,dihydrodiol dehydrogenase 3-like,,,,,
LOC106990117,,"BOLA class I histocompatibility antigen, alpha chain BL3-7-like",,,,,
LOC106990114,CDK1,,,,,,
LOC106990113,,DISCONTINUED,,,,,
LOC106990106,EZR,pseudogene,,,,,
LOC106990104,HSPE1,,,,,,
LOC106990101,TUBA1B,,,,,,
LOC106990092,CYCS,,,,,,
LOC105616911,C14H19orf48,,,,,,
LOC105616900,,DISCONTINUED,,,,,
LOC105616899,LOC105616899,,,,,,
LOC105616898,BCAM,,,,,,
LOC105616896,NAP1L1,,,,,,
LOC105616889,LOC105616889,,,,,,
LOC105616883,DCXR,,,,,,
LOC105616881,,DISCONTINUED,,,,,
LOC105616874,LOC105616874,,,,,,
LOC105616860,LOC105616860,,,,,,
LOC105616844,,DISCONTINUED,,,,,
LOC105616840,BANP,,,,,,
LOC105616834,,DISCONTINUED,,,,,
LOC105616822,LOC105616822,,,,,,
LOC105616808,ZNRF1,,,,,,
LOC105616801,HNRNPCL1,,,,,,
LOC105616776,MKKS,,,,,,
LOC105616767,,DISCONTINUED,,,,,
LOC105616762,,DISCONTINUED,,,,,
LOC105616742,ERVK-5,,,,,,
LOC105616741,LBP,like gene,,,,,
LOC105616738,BLCAP,,,,,,
LOC105616717,DNAAF9,,,,,,
LOC105616708,LOC105616708,,,,,,
LOC105616706,,DISCONTINUED,,,,,
LOC105616702,RALGAPA2,,,,,,
LOC105616696,CCDC24,like gene,,,,,
LOC105616691,,DISCONTINUED,,,,,
LOC105616690,SVIL,,,,,,
LOC105616637,LOC105616637,,,,,,
LOC105616627,PTPN7,,,,,,
LOC105616615,CASZ1,,,,,,
LOC105616612,,DISCONTINUED,,,,,
LOC105616540,KAZN,like gene,,,,,
LOC105616536,FNDC10,,,,,,
LOC105616533,LOC105616533,,,,,,
LOC105616528,LOC105616528,,,,,,
LOC105616514,,DISCONTINUED,,,,,
LOC105616503,,DISCONTINUED,,,,,
LOC105616475,,DISCONTINUED,,,,,
LOC105616394,RPL21,like gene,,,,,
LOC105616384,HDAC5,,,,,,
LOC105616379,,DISCONTINUED,,,,,
LOC105616368,LOC105616368,,,,,,
LOC105616364,LOC105616364,,,,,,
LOC105616363,LOC105616363,,,,,,
LOC105616347,,DISCONTINUED,,,,,
LOC105616344,LOC105616344,,,,,,
LOC105616327,LOC105616327,,,,,,
LOC105616325,C11H17orf100,,,,,,
LOC105616296,LOC105616296,,,,,,
LOC105616290,LOC105616290,,,,,,
LOC105616289,,DISCONTINUED,,,,,
LOC105616280,,DISCONTINUED,,,,,
LOC105616252,CFAP97D2,,,,,,
LOC105616243,,DISCONTINUED,,,,,
LOC105616225,LOC105616225,,,,,,
LOC105616212,,DISCONTINUED,,,,,
LOC105616164,LOC105616164,,,,,,
LOC105616159,,DISCONTINUED,,,,,
LOC105616153,LOC105616153,,,,,,
LOC105616120,IGSF8,,,,,,
LOC105616111,NRBP2,,,,,,
LOC105616082,SINHCAF,pseudogene,,,,,
LOC105616011,,DISCONTINUED,,,,,
LOC105615986,GSDMD,,,,,,
LOC105615980,MROH1,,,,,,
LOC105615913,,DISCONTINUED,,,,,
LOC105615893,,DISCONTINUED,,,,,
LOC105615865,,DISCONTINUED,,,,,
LOC105615813,,DISCONTINUED,,,,,
LOC105615810,,DISCONTINUED,,,,,
LOC105615805,,DISCONTINUED,,,,,
LOC105615773,FLVCR2,like gene,,,,,
LOC105615771,,DISCONTINUED,,,,,
LOC105615770,FLVCR2,Like gene,,,,,
LOC105615767,HIGD1A,like gene,,,,,
LOC105615761,GALNT16,,,,,,
LOC105615749,RAB15,,,,,,
LOC105615744,,DISCONTINUED,,,,,
LOC105615721,LOC105615721,,,,,,
LOC105615690,LOC105615690,,,,,,
LOC105615685,,DISCONTINUED,,,,,
LOC105615677,LOC105615677,,,,,,
LOC105615656,,DISCONTINUED,,,,,
LOC105615654,,angiogenin-1-like,,,,,
LOC105615644,MRPL52,,,,,,
LOC105615627,,DISCONTINUED,,,,,
LOC105615576,EML4,pseudogene,,,,,
LOC105615565,PCGF3,,,,,,
LOC105615523,LOC105615523,,,,,,
LOC105615521,LOC105615521,,,,,,
LOC105615520,LNP1,like gene,,,,,
LOC105615508,,DISCONTINUED,,,,,
LOC105615501,LOC105615501,,,,,,
LOC105615499,PAICS,,,,,,
LOC105615456,LCORL,,,,,,
LOC105615397,,DISCONTINUED,,,,,
LOC105615377,PFN1,pseudogene,,,,,
LOC105615373,,DISCONTINUED,,,,,
LOC105615362,REXO1,,,,,,
LOC105615359,LOC105615359,,,,,,
LOC105615346,,DISCONTINUED,,,,,
LOC105615308,LOC105615308,,,,,,
LOC105615270,SLC35A4,,,,,,
LOC105615265,LOC105615265,,,,,,
LOC105615257,LOC105615257,,,,,,
LOC105615253,RAB24,,,,,,
LOC105615252,,DISCONTINUED,,,,,
LOC105615229,LOC105615229,,,,,,
LOC105615227,LOC105615227,,,,,,
LOC105615225,,DISCONTINUED,,,,,
LOC105615222,LOC105615222,,,,,,
LOC105615216,,DISCONTINUED,,,,,
LOC105615214,PPAN,,,,,,
LOC105615213,ZNF561,,,,,,
LOC105615210,SYCE2,,,,,,
LOC105615175,GIMAP1,like gene,,,,,
LOC105615174,REPIN1,,,,,,
LOC105615158,AEBP1,,,,,,
LOC105615140,PRKAG2,,,,,,
LOC105615133,GIMAP8,Like gene,,,,,
LOC105615131,GIMAP5,like gene,,,,,
LOC105615111,LOC105615111,,,,,,
LOC105615045,,DISCONTINUED,,,,,
LOC105615000,,DISCONTINUED,,,,,
LOC105614975,SLC25A40,,,,,,
LOC105614965,,DISCONTINUED,,,,,
LOC105614940,,DISCONTINUED,,,,,
LOC105614936,EEF1AKMT2,pseudogene,,,,,
LOC105614928,PKDREJ,like gene,,,,,
LOC105614924,SPSB2,,,,,,
LOC105614885,CELSR1,,,,,,
LOC105614876,A4GALT,,,,,,
LOC105614873,L3MBTL2,,,,,,
LOC105614869,LOC443240,casein kinase I (no specific isoform listed),,,,,
LOC105614865,,DISCONTINUED,,,,,
LOC105614854,,calmodulin-alpha,,,,,
LOC105614852,GBP2,like gene,,,,,
LOC105614851,,antigen WC1.1-like,,,,,
LOC105614839,LOC105614839,,,,,,
LOC105614788,LOC105614788,,,,,,
LOC105614785,,DISCONTINUED,,,,,
LOC105614781,LOC105614781,,,,,,
LOC105614765,PTP4A1,pseudogene,,,,,
LOC105614728,TUBA1C,,,,,,
LOC105614727,DPY30,,,,,,
LOC105614722,,DISCONTINUED,,,,,
LOC105614683,LOC105614683,,,,,,
LOC105614635,,DISCONTINUED,,,,,
LOC105614551,,DISCONTINUED,,,,,
LOC105614373,,cytochrome P450 2B11-like; canine analog,,,,,
LOC105614355,,DISCONTINUED,,,,,
LOC105614340,CD38,,,,,,
LOC105614324,,"BOLA class I histocompatibility antigen, alpha chain BL3-7",,,,,
LOC105614177,,DISCONTINUED,,,,,
LOC105614110,LOC105614110,,,,,,
LOC105614076,LOC105614076,,,,,,
LOC105613872,F8A1,like gene,,,,,
LOC105613853,LOC105613853,,,,,,
LOC105613828,LOC105613828,,,,,,
LOC105613784,LOC105613784,,,,,,
LOC105613776,,DISCONTINUED,,,,,
LOC105613604,LOC105613604,,,,,,
LOC105613565,LOC105613565,,,,,,
LOC105613564,LOC105613564,,,,,,
LOC105613550,EEF1A1,like gene,,,,,
LOC105613494,ZNF84,,,,,,
LOC105613434,LOC105613434,,,,,,
LOC105613406,ZNF480,pseudogene,,,,,
LOC105613390,LOC105613390,,,,,,
LOC105613322,,DISCONTINUED,,,,,
LOC105613289,ERVV-1,like gene,,,,,
LOC105613248,LOC105613248,,,,,,
LOC105613245,LOC105613245,,,,,,
LOC105613208,,DISCONTINUED,,,,,
LOC105613207,,DISCONTINUED,,,,,
LOC105613198,,DISCONTINUED,,,,,
LOC105613145,RPS26,like gene,,,,,
LOC105613124,,DISCONTINUED,,,,,
LOC105613123,LOC105613123,,,,,,
LOC105613002,,killer cell lectin-like receptor subfamily E member 1; mouse analog,,,,,
LOC105612936,LDAH,,,,,,
LOC105612922,WDR97,,,,,,
LOC105612888,LOC105612888,,,,,,
LOC105612852,MTHFD2,pseudogene,,,,,
LOC105612811,C17H22orf39,,,,,,
LOC105612788,LOC105612788,,,,,,
LOC105612738,ZNF580,,,,,,
LOC105612706,SKIV2L,like gene,,,,,
LOC105612690,RPS4X,like gene,,,,,
LOC105612688,LOC105612688,,,,,,
LOC105612674,LOC105612674,,,,,,
LOC105612581,,DISCONTINUED,,,,,
LOC105612575,CD163,,,,,,
LOC105612555,LOC105612555,,,,,,
LOC105612547,LOC105612547,,,,,,
LOC105612466,LOC105612466,,,,,,
LOC105612436,,DISCONTINUED,,,,,
LOC105612396,,DISCONTINUED,,,,,
LOC105612395,,DISCONTINUED,,,,,
LOC105612393,LOC105612393,,,,,,
LOC105612390,,DISCONTINUED,,,,,
LOC105612385,LOC105612385,,,,,,
LOC105612347,LOC105612347,,,,,,
LOC105612334,LOC105612334,,,,,,
LOC105612282,SMIM26,,,,,,
LOC105612279,,DISCONTINUED,,,,,
LOC105612255,,DISCONTINUED,,,,,
LOC105612250,LOC105612250,,,,,,
LOC105612199,LOC105612199,,,,,,
LOC105612165,,DISCONTINUED,,,,,
LOC105612090,LOC105612090,,,,,,
LOC105612082,FV1,,,,,,
LOC105612074,,DISCONTINUED,,,,,
LOC105612046,,DISCONTINUED,,,,,
LOC105612017,LOC105612017,,,,,,
LOC105612015,SNRPF,like gene,,,,,
LOC105612006,LOC105612006,,,,,,
LOC105611998,COPS9,,,,,,
LOC105611978,LOC105611978,,,,,,
LOC105611951,LOC105611951,,,,,,
LOC105611935,,DISCONTINUED,,,,,
LOC105611903,SPEG,,,,,,
LOC105611847,CCT6A,pseudogene,,,,,
LOC105611838,LOC105611838,,,,,,
LOC105611820,,DISCONTINUED,,,,,
LOC105611804,LOC105611804,,,,,,
LOC105611786,PALLD,,,,,,
LOC105611785,,DISCONTINUED,,,,,
LOC105611784,LOC105611784,,,,,,
LOC105611737,LOC105611737,,,,,,
LOC105611729,,DISCONTINUED,,,,,
LOC105611720,DPCD,,,,,,
LOC105611673,OAT,pseudogene,,,,,
LOC105611671,LOC105611671,,,,,,
LOC105611645,,DISCONTINUED,,,,,
LOC105611629,,DISCONTINUED,,,,,
LOC105611592,LOC105611592,,,,,,
LOC105611588,,DISCONTINUED,,,,,
LOC105611587,,DISCONTINUED,,,,,
LOC105611576,LOC105611576,,,,,,
LOC105611551,RGS14,,,,,,
LOC105611550,AKR7A3,,,,,,
LOC105611549,,DISCONTINUED,,,,,
LOC105611547,LOC105611547,,,,,,
LOC105611533,LOC114116606,,,,,,
LOC105611518,LOC105611518,,,,,,
LOC105611516,SPINK2,like gene,,,,,
LOC105611500,G3BP1,,,,,,
LOC105611487,LOC105611487,,,,,,
LOC105611485,CCNI2,,,,,,
LOC105611475,,DISCONTINUED,,,,,
LOC105611474,GNG7,,,,,,
LOC105611472,,DISCONTINUED,,,,,
LOC105611449,LOC105611449,,,,,,
LOC105611432,,DISCONTINUED,,,,,
LOC105611419,,DISCONTINUED,,,,,
LOC105611383,TEX48,,,,,,
LOC105611350,C12H1orf53,,,,,,
LOC105611345,LOC105611345,,,,,,
LOC105611321,,DISCONTINUED,,,,,
LOC105611302,LOC105611302,,,,,,
LOC105611280,LOC105611280,,,,,,
LOC105611269,LOC105611269,,,,,,
LOC105611199,,DISCONTINUED,,,,,
LOC105611150,,DISCONTINUED,,,,,
LOC105611091,LOC105611091,,,,,,
LOC105611059,,DISCONTINUED,,,,,
LOC105611052,EFCAB3,like gene,,,,,
LOC105611038,RPL12,pseudogene,,,,,
LOC105610999,LOC105610999,,,,,,
LOC105610993,ACKR2,like gene,,,,,
LOC105610956,LOC105610956,,,,,,
LOC105610935,SMIM41,,,,,,
LOC105610932,LOC105610932,,,,,,
LOC105610887,BCL2L1,,,,,,
LOC105610886,LOC105610886,,,,,,
LOC105610830,PIGBOS1,,,,,,
LOC105610823,TRMU,,,,,,
LOC105610782,LOC105610782,,,,,,
LOC105610709,LOC105610709,,,,,,
LOC105610652,,DISCONTINUED,,,,,
LOC105610651,FOSL2,,,,,,
LOC105610624,RPL37A,,,,,,
LOC105610572,LOC105610572,,,,,,
LOC105610561,LOC105610561,,,,,,
LOC105610545,LOC105610545,,,,,,
LOC105610544,,DISCONTINUED,,,,,
LOC105610540,LOC105610540,,,,,,
LOC105610521,FOSL2,,,,,,
LOC105610499,LOC105610499,,,,,,
LOC105610494,MISP3,,,,,,
LOC105610486,LOC105610486,,,,,,
LOC105610484,ZNF791,like gene,,,,,
LOC105610483,ZNF709,like gene,,,,,
LOC105610458,LOC105610458,,,,,,
LOC105610456,GLRX5,like gene,,,,,
LOC105610454,LBH,,,,,,
LOC105610434,,DISCONTINUED,,,,,
LOC105610424,WDR24,,,,,,
LOC105610416,,DISCONTINUED,,,,,
LOC105610402,RPL17,,,,,,
LOC105610319,,DISCONTINUED,,,,,
LOC105610309,,oocyte zinc finger protein XlCOF26-like,,,,,
LOC105610305,ZNF783,,,,,,
LOC105610302,,DISCONTINUED,,,,,
LOC105610290,SELENOS,pseudogene,,,,,
LOC105610254,LOC105610254,,,,,,
LOC105610217,,DISCONTINUED,,,,,
LOC105610214,LOC105610214,,,,,,
LOC105610195,LOC105610195,,,,,,
LOC105610169,LOC105610169,,,,,,
LOC105610163,,DISCONTINUED,,,,,
LOC105610161,LOC105610161,,,,,,
LOC105610139,RPL19,like gene,,,,,
LOC105610137,RPL17,,,,,,
LOC105610127,MTIF2,like gene,,,,,
LOC105610122,LOC105610122,,,,,,
LOC105610100,LOC105610100,,,,,,
LOC105610097,LOC105610097,,,,,,
LOC105610032,LOC105610032,,,,,,
LOC105609992,,DISCONTINUED,,,,,
LOC105609990,LAPTM4B,pseudogene,,,,,
LOC105609981,,DISCONTINUED,,,,,
LOC105609924,,DISCONTINUED,,,,,
LOC105609918,LOC105609918,,,,,,
LOC105609916,C2H2orf76,,,,,,
LOC105609908,DNMT3A,,,,,,
LOC105609898,,DISCONTINUED,,,,,
LOC105609869,,soma ferritin-like,,,,,
LOC105609861,LOC105609861,,,,,,
LOC105609854,LOC105609854,,,,,,
LOC105609801,POLE4,,,,,,
LOC105609787,LOC105609787,,,,,,
LOC105609758,LOC105609758,,,,,,
LOC105609741,,DISCONTINUED,,,,,
LOC105609712,LOC105609712,,,,,,
LOC105609695,,DISCONTINUED,,,,,
LOC105609630,PPP1R14C,,,,,,
LOC105609628,,DISCONTINUED,,,,,
LOC105609600,,DISCONTINUED,,,,,
LOC105609560,LOC105609560,,,,,,
LOC105609544,LOC105609544,,,,,,
LOC105609542,LOC105609542,,,,,,
LOC105609538,LOC105609538,,,,,,
LOC105609526,,DISCONTINUED,,,,,
LOC105609489,LOC105609489,,,,,,
LOC105609488,LOC105609488,,,,,,
LOC105609438,LOC105609438,,,,,,
LOC105609432,LOC105609432,,,,,,
LOC105609427,,DISCONTINUED,,,,,
LOC105609426,ZNF891,,,,,,
LOC105609393,LOC105609393,,,,,,
LOC105609383,LOC105609383,,,,,,
LOC105609364,LOC105609364,,,,,,
LOC105609355,LOC105609355,,,,,,
LOC105609336,LOC105609336,,,,,,
LOC105609282,UBE2V2,pseudogene,,,,,
LOC105609277,LOC105609277,,,,,,
LOC105609244,LOC105609244,,,,,,
LOC105609233,,DISCONTINUED,,,,,
LOC105609220,LOC105609220,,,,,,
LOC105609211,LOC105609211,,,,,,
LOC105609197,LOC105609197,,,,,,
LOC105609193,LOC105609193,,,,,,
LOC105609191,LOC105609191,,,,,,
LOC105609182,,DISCONTINUED,,,,,
LOC105609176,,DISCONTINUED,,,,,
LOC105609169,,DISCONTINUED,,,,,
LOC105609145,,DISCONTINUED,,,,,
LOC105609137,LOC105609137,,,,,,
LOC105609117,LOC105609117,,,,,,
LOC105609077,,DISCONTINUED,,,,,
LOC105609069,,DISCONTINUED,,,,,
LOC105609042,,DISCONTINUED,,,,,
LOC105609026,LOC105609026,,,,,,
LOC105609021,LOC114117582,,,,,,
LOC105609012,LOC105609012,,,,,,
LOC105609002,LOC105609002,,,,,,
LOC105608997,,DISCONTINUED,,,,,
LOC105608991,LOC105608991,,,,,,
LOC105608940,LOC105608940,,,,,,
LOC105608938,,DISCONTINUED,,,,,
LOC105608935,,DISCONTINUED,,,,,
LOC105608913,ANKRD63,,,,,,
LOC105608906,HSBP1,,,,,,
LOC105608895,LOC105608895,,,,,,
LOC105608879,LOC105608879,,,,,,
LOC105608860,,DISCONTINUED,,,,,
LOC105608835,,DISCONTINUED,,,,,
LOC105608813,LOC105608813,,,,,,
LOC105608809,C14H19orf54,,,,,,
LOC105608763,LOC105608763,,,,,,
LOC105608665,LOC105608665,,,,,,
LOC105608648,LOC105608648,,,,,,
LOC105608645,ZFP64,,,,,,
LOC105608638,LOC105608638,,,,,,
LOC105608622,CCT4,,,,,,
LOC105608597,,DISCONTINUED,,,,,
LOC105608589,LOC105608589,,,,,,
LOC105608588,SAP30,,,,,,
LOC105608581,KCNA6,,,,,,
